user_id,product_id,rating,
AE242TR3GQ6TYC6W4SJ5UYYKBTYQ,B09VT6JKRP,4.1,
AE242TR3GQ6TYC6W4SJ5UYYKBTYQ,B09XJ1LM7R,4.3,
AE242TR3GQ6TYC6W4SJ5UYYKBTYQ,B07L5L4GTB,4.4,
AE242TR3GQ6TYC6W4SJ5UYYKBTYQ,B09NHVCHS9,4,
AE242TR3GQ6TYC6W4SJ5UYYKBTYQ,B00MUTWLW4,4.4,
AE27UOZENYSWCQVQRRUQIV2ZM7VA,B09YDFDVNS,4,
AE27UOZENYSWCQVQRRUQIV2ZM7VA,B0083T231O,4.5,
AE27UOZENYSWCQVQRRUQIV2ZM7VA,B08Y1SJVV5,3.9,
AE27UOZENYSWCQVQRRUQIV2ZM7VA,B07WG8PDCW,4,
AE27UOZENYSWCQVQRRUQIV2ZM7VA,B00GE55L22,4.1,
AE2BZUBJGOBQS2A3U66VXDUV5FRQ,B07924P3C5,4.2,
AE2BZUBJGOBQS2A3U66VXDUV5FRQ,B01D5H8LDM,4.4,
AE2BZUBJGOBQS2A3U66VXDUV5FRQ,B0B94JPY2N,3,
AE2BZUBJGOBQS2A3U66VXDUV5FRQ,B0162K34H2,4.1,
AE2BZUBJGOBQS2A3U66VXDUV5FRQ,B07L5L4GTB,4.4,
AE2E632GMYL5U2ESNXOX5UT5D34A,B094JNXNPV,4,
AE2E632GMYL5U2ESNXOX5UT5D34A,B09VH568H7,3.8,
AE2E632GMYL5U2ESNXOX5UT5D34A,B075ZTJ9XR,4.4,
AE2E632GMYL5U2ESNXOX5UT5D34A,B09X7DY7Q4,4.5,
AE2E632GMYL5U2ESNXOX5UT5D34A,B094JNXNPV,4,
AE2E632GMYL5U2ESNXOX5UT5D34A,B0B3MQXNFB,4,
AE2IJXBP54QRMOS6COSQSEWEJ6TA,B08RWCZ6SY,3.9,
AE2IJXBP54QRMOS6COSQSEWEJ6TA,B09C6HXFC1,4.5,
AE2IJXBP54QRMOS6COSQSEWEJ6TA,B09V12K8NT,3.9,
AE2IJXBP54QRMOS6COSQSEWEJ6TA,B09M8888DM,4.3,
AE2IJXBP54QRMOS6COSQSEWEJ6TA,B09C6H53KH,4.2,
AE2JTMRKTUOIVIZWS2WDGTMNTU4Q,B084N133Y7,4.4,
AE2JTMRKTUOIVIZWS2WDGTMNTU4Q,B09VCHLSJF,4.2,
AE2JTMRKTUOIVIZWS2WDGTMNTU4Q,B0994GFWBH,4,
